id,anychildren,broadband,hispanic,race,region,spend
1,0,1,0,white,MW,424
2,1,1,0,white,MW,2335
3,1,1,0,white,MW,279
4,0,1,0,white,MW,829
5,0,1,0,white,S,221
6,0,1,0,white,MW,2305
7,1,1,0,white,S,18
8,1,1,0,asian,MW,5609
9,0,1,0,white,W,2313
10,1,1,0,white,NE,185
11,1,1,0,white,S,105
12,1,0,0,white,MW,2804
13,0,1,0,white,MW,9506
14,1,0,0,white,W,40
15,0,1,0,white,MW,96
16,1,1,0,white,S,400
17,0,1,0,white,S,885
18,1,1,0,white,W,454
19,1,1,0,white,W,80
20,1,1,0,white,S,2807
21,0,1,0,white,S,5428
22,1,0,0,white,MW,55
23,1,1,1,white,S,261
24,1,1,0,white,S,258
25,0,1,0,black,W,947
26,0,0,1,white,NE,426
27,1,1,0,white,S,3539
28,1,1,0,white,MW,1911
29,0,0,1,white,S,591
30,1,0,1,white,W,140
31,1,0,0,white,NE,711
32,1,1,0,white,NE,2725
33,1,0,1,white,W,182
34,1,1,0,white,W,10
35,1,1,0,white,S,362
36,1,1,0,white,W,298
37,0,1,0,white,W,2746
38,0,1,0,white,S,1445
39,1,1,0,white,S,6635
40,0,0,0,white,MW,2661
41,0,1,0,white,S,1826
42,1,1,0,white,S,1168
43,1,1,0,white,MW,196
44,0,0,0,white,MW,89
45,1,0,1,white,S,90
46,1,1,0,white,S,3359
47,0,0,1,white,S,10
48,1,1,0,white,NE,382
49,1,1,1,white,NE,87
50,0,1,0,white,MW,853
51,0,1,1,white,NE,5478
52,1,1,0,white,S,531
53,1,1,1,white,MW,40
54,1,1,0,white,S,368
55,1,1,0,white,W,506
56,0,1,0,white,S,15
57,1,1,1,white,NE,1231
58,0,0,0,white,S,11
59,1,0,0,white,S,5553
60,0,1,0,white,NE,4933
61,1,1,0,white,NE,36677
62,1,0,0,white,S,780
63,1,1,0,white,S,998
64,1,1,0,white,MW,312
65,0,0,0,white,S,180
66,0,1,0,white,S,574
67,0,1,0,white,MW,480
68,1,1,0,white,W,3859
69,0,1,0,white,MW,57
70,1,1,0,white,S,7722
71,1,1,0,white,MW,1740
72,1,1,0,white,S,289
73,1,1,0,white,S,672
74,1,1,0,white,MW,602
75,1,1,0,white,MW,400
76,0,0,0,white,W,2520
77,0,1,0,white,MW,250
78,1,1,0,white,W,1170
79,1,1,0,white,MW,650
80,0,0,0,black,NE,88
81,0,1,0,white,MW,3926
82,0,1,0,white,S,21486
83,1,1,0,white,NE,186
84,0,1,0,white,MW,35
85,1,1,1,white,S,772
86,1,0,0,white,MW,638
87,1,0,0,white,S,217
88,0,1,1,black,S,15
89,0,0,0,white,MW,671
90,0,1,0,white,NE,120
91,1,1,0,white,MW,2518
92,0,1,0,white,S,817
93,0,1,0,white,W,300
94,1,1,0,white,S,4394
95,0,1,0,white,MW,257
96,1,0,0,white,S,684
97,0,1,1,white,S,33500
98,0,1,0,white,W,280
99,1,1,0,white,S,59
100,1,1,0,white,NE,136
101,1,1,0,white,S,4964
102,0,0,1,white,S,48
103,0,1,0,white,S,50
104,1,1,0,asian,W,1064
105,1,1,0,white,NE,26
106,0,1,0,white,MW,1669
107,1,1,1,white,MW,1080
108,1,1,0,white,S,86
109,1,1,0,white,W,97
110,1,1,0,white,MW,19
111,0,1,0,white,S,249
112,1,0,0,black,S,275
113,0,0,1,white,S,192
114,0,1,0,other,S,12969
115,0,1,0,white,S,121
116,0,0,0,white,MW,31
117,0,1,0,white,S,13266
