Year,Month,Passengers
49,1,112
49,2,118
49,3,132
49,4,129
49,5,121
49,6,135
49,7,148
49,8,148
49,9,136
49,10,119
49,11,104
49,12,118
50,1,115
50,2,126
50,3,141
50,4,135
50,5,125
50,6,149
50,7,170
50,8,170
50,9,158
50,10,133
50,11,114
50,12,140
51,1,145
51,2,150
51,3,178
51,4,163
51,5,172
51,6,178
51,7,199
51,8,199
51,9,184
51,10,162
51,11,146
51,12,166
52,1,171
52,2,180
52,3,193
52,4,181
52,5,183
52,6,218
52,7,230
52,8,242
52,9,209
52,10,191
52,11,172
52,12,194
53,1,196
53,2,196
53,3,236
53,4,235
53,5,229
53,6,243
53,7,264
53,8,272
53,9,237
53,10,211
53,11,180
53,12,201
54,1,204
54,2,188
54,3,235
54,4,227
54,5,234
54,6,264
54,7,302
54,8,293
54,9,259
54,10,229
54,11,203
54,12,229
55,1,242
55,2,233
55,3,267
55,4,269
55,5,270
55,6,315
55,7,364
55,8,347
55,9,312
55,10,274
55,11,237
55,12,278
56,1,284
56,2,277
56,3,317
56,4,313
56,5,318
56,6,374
56,7,413
56,8,405
56,9,355
56,10,306
56,11,271
56,12,306
57,1,315
57,2,301
57,3,356
57,4,348
57,5,355
57,6,422
57,7,465
57,8,467
57,9,404
57,10,347
57,11,305
57,12,336
58,1,340
58,2,318
58,3,362
58,4,348
58,5,363
58,6,435
58,7,491
58,8,505
58,9,404
58,10,359
58,11,310
58,12,337
59,1,360
59,2,342
59,3,406
59,4,396
59,5,420
59,6,472
59,7,548
59,8,559
59,9,463
59,10,407
59,11,362
59,12,405
60,1,417
60,2,391
60,3,419
60,4,461
60,5,472
60,6,535
60,7,622
60,8,606
60,9,508
60,10,461
60,11,390
60,12,432
