id,spend
1,424
2,2335
3,279
4,829
5,221
6,2305
7,18
8,5609
9,2313
10,185
11,105
12,2804
13,9506
14,40
15,96
16,400
17,885
18,454
19,80
20,2807
21,5428
22,55
23,261
24,258
25,947
26,426
27,3539
28,1911
29,591
30,140
31,711
32,2725
33,182
34,10
35,362
36,298
37,2746
38,1445
39,6635
40,2661
41,1826
42,1168
43,196
44,89
45,90
46,3359
47,10
48,382
49,87
50,853
51,5478
52,531
53,40
54,368
55,506
56,15
57,1231
58,11
59,5553
60,4933
61,36677
62,780
63,998
64,312
65,180
66,574
67,480
68,3859
69,57
70,7722
71,1740
72,289
73,672
74,602
75,400
76,2520
77,250
78,1170
79,650
80,88
81,3926
82,21486
83,186
84,35
85,772
86,638
87,217
88,15
89,671
90,120
91,2518
92,817
93,300
94,4394
95,257
96,684
97,33500
98,280
99,59
100,136
101,4964
102,48
103,50
104,1064
105,26
106,1669
107,1080
108,86
109,97
110,19
111,249
112,275
113,192
114,12969
115,121
116,31
117,13266
118,1349
119,3596
120,18541
121,70
122,1435
123,9033
124,249
125,47
126,1703
127,331
128,579
129,16231
130,4002
131,2489
132,775
133,382
134,271
135,883
136,1158
137,62
138,1142
139,129
140,435
141,780
142,5230
143,160
144,17
145,17
146,451
147,615
148,583
149,1706
150,159
151,1385
152,787
153,61
154,268
155,63
156,524
157,152
158,220
159,1271
160,40
161,7510
162,147
163,257
164,813
165,46
166,1067
167,185
168,1381
169,101
170,2610
171,60
172,74
173,1729
174,507
175,85
176,401
177,59
178,9
179,4499
180,141
181,5616
182,232
183,25
184,250
185,200
186,50
187,5320
188,179
189,352
190,199
191,2001
192,325
193,4656
194,46
195,14
196,28
197,288
198,179
199,4869
200,25684
201,1348
202,450
203,240
204,568
205,18
206,181
207,512
208,1088
209,534
210,5289
211,2039
212,1047
213,1251
214,7741
215,3671
216,1498
217,238
218,154
219,2620
220,1490
221,7093
222,95
223,2618
224,8
225,179
226,133
227,3296
228,125
229,2989
230,424
231,342
232,28
233,578
234,360
235,582
236,495
237,752
238,213
239,438
240,1175
241,1275
242,9895
243,104
244,558
245,92
246,292
247,360
248,1066
249,1293
250,29
251,18084
252,213
253,136
254,1713
255,68
256,456
257,1000
258,973
259,8130
260,3
261,439
262,320
263,429
264,516
265,131
266,8
267,78
268,13792
269,2925
270,119
271,996
272,796
273,253
274,241
275,3931
276,780
277,399
278,483
279,682
280,1395
281,99
282,689
283,255
284,2251
285,129
286,91
287,210
288,1436
289,870
290,515
291,970
292,676
293,3303
294,396
295,188
296,15
297,1131
298,156
299,1424
300,18
301,5959
302,1346
303,233
304,778
305,4035
306,932
307,745
308,718
309,40
310,451
311,6566
312,2945
313,31447
314,1339
315,1629
316,460
317,885
318,728
319,990
320,483
321,45
322,2377
323,1970
324,48
325,109
326,2627
327,114
328,155
329,3496
330,458
331,1161
332,104
333,86
334,10245
335,2419
336,71
337,53
338,2632
339,1009
340,1483
341,1677
342,64
343,478
344,542
345,105
346,2166
347,256313
348,208
349,1104
350,1517
351,214
352,116
353,4151
354,844
355,135
356,30
357,14
358,192
359,4709
360,1428
361,5699
362,233
363,254
364,3233
365,2177
366,534
367,569
368,443
369,3378
370,464
371,745
372,2156
373,382
374,18
375,157
376,366
377,205
378,826
379,2107
380,2887
381,188
382,89
383,17
384,81
385,530
386,420
387,116
388,600
389,1718
390,1142
391,358
392,3045
393,2211
394,620
395,89
396,1196
397,1031
398,661
399,112
400,1350
401,399
402,855
403,25
404,218
405,231
406,417
407,36
408,1321
409,576
410,1006
411,2858
412,716
413,50
414,519
415,1308
416,696
417,22237
418,46
419,1516
420,10952
421,229
422,26
423,891
424,78
425,2012
426,297
427,1337
428,284
429,2776
430,106
431,286
432,300
433,145
434,77
435,2155
436,7421
437,1625
438,15
439,3071
440,2106
441,101
442,6568
443,2360
444,1646
445,4650
446,663
447,721
448,136
449,2809
450,36
451,410
452,530
453,26
454,10
455,98
456,2296
457,1152
458,997
459,322
460,711
461,69
462,351
463,52
464,74
465,3002
466,200
467,18
468,1654
469,909
470,512
471,1240
472,702
473,1629
474,74
475,3450
476,200
477,1237
478,25
479,168
480,6571
481,180
482,200
483,2868
484,100
485,48999
486,415
487,189
488,2211
489,303
490,1789
491,2437
492,3375
493,906
494,480
495,159
496,2342
497,376
498,4150
499,523
500,100
501,1684
502,1823
503,627
504,2501
505,332
506,2388
507,106
508,457
509,199
510,384
511,1182
512,224
513,1029
514,7554
515,1994
516,46
517,4450
518,8427
519,453
520,555
521,542
522,3230
523,18
524,150
525,218
526,2206
527,459
528,869
529,174
530,221
531,747
532,55
533,151
534,95315
535,924
536,5993
537,3396
538,128
539,331
540,368
541,348
542,595
543,192
544,2747
545,344
546,135
547,1103
548,106
549,232
550,70
551,377
552,915
553,5926
554,667
555,246
556,435
557,4820
558,71
559,128
560,18
561,326
