date,dma,treatment_period,search stays on,revenue
1-Apr-12,500,0,0,76718.736
1-Apr-12,501,0,1,2096176.536
1-Apr-12,502,0,1,34993.8504
1-Apr-12,503,0,1,34198.7544
1-Apr-12,504,0,1,641014.2144
1-Apr-12,505,0,0,327989.3112
1-Apr-12,506,0,1,542373.984
1-Apr-12,507,0,1,49080.1968
1-Apr-12,508,0,1,230705.2944
1-Apr-12,509,0,1,51699.4488
1-Apr-12,510,0,1,287997.4008
1-Apr-12,511,0,0,564910.3944
1-Apr-12,512,0,1,241449.7464
1-Apr-12,513,0,0,82045.5336
1-Apr-12,514,0,1,157861.0944
1-Apr-12,515,0,1,149136.624
1-Apr-12,516,0,1,31408.4808
1-Apr-12,517,0,0,183142.6344
1-Apr-12,518,0,1,104594.7384
1-Apr-12,519,0,1,46660.8816
1-Apr-12,520,0,1,35264.8728
1-Apr-12,521,0,0,127206.432
1-Apr-12,522,0,1,35494.884
1-Apr-12,523,0,1,88089.7392
1-Apr-12,524,0,1,383967.6192
1-Apr-12,525,0,0,15370.7976
1-Apr-12,526,0,1,23615.9424
1-Apr-12,527,0,1,169157.592
1-Apr-12,528,0,0,626294.2176
1-Apr-12,529,0,1,112196.4552
1-Apr-12,530,0,1,34400.0232
1-Apr-12,531,0,1,51986.4984
1-Apr-12,532,0,1,115934.94
1-Apr-12,533,0,1,239605.0056
1-Apr-12,534,0,0,306014.9904
1-Apr-12,535,0,1,148151.592
1-Apr-12,536,0,0,48022.956
1-Apr-12,537,0,1,26071.8336
1-Apr-12,538,0,1,90076.1544
1-Apr-12,539,0,1,368264.844
1-Apr-12,540,0,1,45119.0592
1-Apr-12,541,0,1,82127.7144
1-Apr-12,542,0,0,87067.2168
1-Apr-12,543,0,1,60329.8296
1-Apr-12,544,0,0,147166.56
1-Apr-12,545,0,0,41746.4784
1-Apr-12,546,0,0,57527.1288
1-Apr-12,547,0,0,74758.5432
1-Apr-12,548,0,0,167434.0992
1-Apr-12,549,0,1,26167.1976
1-Apr-12,550,0,0,25310.4336
1-Apr-12,551,0,1,46199.1888
1-Apr-12,552,0,1,7779.708
1-Apr-12,553,0,1,18961.5456
1-Apr-12,554,0,1,27629.9928
1-Apr-12,555,0,1,81430.0992
1-Apr-12,556,0,0,93649.968
1-Apr-12,557,0,0,80710.3008
1-Apr-12,558,0,1,7774.2648
1-Apr-12,559,0,1,25704.6336
1-Apr-12,560,0,1,183401.5752
1-Apr-12,561,0,0,110637.4536
1-Apr-12,563,0,0,119084.544
1-Apr-12,564,0,1,93478.1472
1-Apr-12,565,0,0,21861.0936
1-Apr-12,566,0,0,143786.0232
1-Apr-12,567,0,1,140094.6408
1-Apr-12,569,0,1,12022.1352
1-Apr-12,570,0,1,41319.6336
1-Apr-12,571,0,1,82660.9752
1-Apr-12,573,0,1,69202.8144
1-Apr-12,574,0,1,68800.2984
1-Apr-12,575,0,1,69402.3336
1-Apr-12,576,0,0,28102.6008
1-Apr-12,577,0,0,151176.816
1-Apr-12,581,0,0,26977.6152
1-Apr-12,582,0,1,11175.192
1-Apr-12,583,0,1,2007.0504
1-Apr-12,584,0,1,11770.8264
1-Apr-12,588,0,1,61446.8664
1-Apr-12,592,0,1,23377.788
1-Apr-12,596,0,0,4423.8456
1-Apr-12,597,0,1,15239.3616
1-Apr-12,598,0,1,22126.8024
1-Apr-12,600,0,1,37875.5568
1-Apr-12,602,0,1,758528.568
1-Apr-12,603,0,1,22622.184
1-Apr-12,604,0,1,32854.0032
1-Apr-12,605,0,1,36484.38
1-Apr-12,606,0,0,13505.7312
1-Apr-12,609,0,0,185071.2552
1-Apr-12,610,0,1,39313.2744
1-Apr-12,611,0,0,25233.9408
1-Apr-12,612,0,1,55055.1528
1-Apr-12,613,0,0,317687.2416
1-Apr-12,616,0,1,146676.6792
1-Apr-12,617,0,0,178821.5688
1-Apr-12,618,0,1,434032.0272
1-Apr-12,619,0,1,69049.7784
1-Apr-12,622,0,0,108207.72
1-Apr-12,623,0,1,466087.1544
1-Apr-12,624,0,0,23057.9568
1-Apr-12,625,0,1,58573.3896
1-Apr-12,626,0,1,5183.928
