statenum	year	popul	lpc_viol	lpc_prop	lpc_murd	efamurd	efaviol	efaprop	xxprison	xxpolice	xxunemp	xxincome	xxpover	xxafdc15	xxgunlaw	xxbeer
1	66														1	
1	67														1	
1	68														1	
1	69														1	
1	70	3452													1	
1	71	3487													1	
1	72	3539	1.133505	2.99429	-1.965024						.04324	9.498476			1	
1	73	3580	1.241527	3.094072	-2.03465				.0259393	.5668154	.04493	9.550107			1	
1	74	3627	1.302211	3.254634	-1.912027				.0310763	.5866998	.05617	9.537163			1	
1	75	3679	1.350671	3.409552	-1.852554				.1606285	.6761858	.07714	9.540031			1	
1	76	3735	1.338869	3.513163	-1.910145				.1834987	.7149252	.06757	9.591908			1	
1	77	3780	1.397671	3.471851	-1.975988				.3293712	.6955539	.07436	9.617496			1	
1	78	3832	1.409127	3.537193	-2.038536				.4779088	.7725792	.06325	9.654072			1	
1	79	3866	1.393639	3.620173	-2.0534				.3666201	.7930256	.071	9.64918			1	
1	80	3894	1.492425	3.794958	-2.034744				.3459607	.8002393	.08775	9.612194	21.2		1	
1	81	3919	1.547763	3.789828	-2.131554				.4918485	.8544263	.10667	9.609594	24.1		1	
1	82	3925	1.503539	3.73887	-2.242035				.6081056	.8207764	.14367	9.59758	21.6		1	
1	83	3934	1.431944	3.613196	-2.380258				.7821841	.7859063	.13667	9.626769	22.9		1	
1	84	3952	1.47092	3.556555	-2.357721				.8963681	.8001966	.11167	9.671621	19.1		1	18
1	85	3973	1.53272	3.562942	-2.305862	.0008595	.0091469	.0361625	.9526656	.7626628	.08908	9.703193	20.6	3077.629	1	18.7
1	86	3992	1.734365	3.634252	-2.278332	.0013463	.0140997	.0550974	.9952912	.7909027	.09833	9.74595	23.8	2805.778	1	19.3
1	87	4015	1.73817	3.678351	-2.357621	.0052519	.0315466	.1049932	1.058402	.8189143	.07775	9.762092	21.3	3455.742	1	19.4
1	88	4024	1.745476	3.714935	-2.288764	.0096834	.0518248	.1633016	1.143818	.8803344	.07208	9.78177	19.3	3210	1	19.4
1	89	4030	1.797903	3.71969	-2.258889	.0222143	.0880652	.2501768	1.121946	.9410318	.07025	9.802527	18.9	3789.493	1	19.4
1	90	4050	1.955738	3.736929	-2.160143	.0458243	.1378499	.3555517	1.214463	.9891075	.06775	9.81429	19.2	3436.729	1	20.1
1	91	4090	2.132936	3.811173	-2.165698	.0817725	.2047878	.4856971	1.333375	1.031381	.072	9.81926	18.8	3486.432	1	20.1
1	92	4138	2.16475	3.782898	-2.20767	.1327949	.2863918	.6349122	1.388736	1.061163	.073	9.845286	17.1	3591.386	1	20.4
1	93	4187	2.054656	3.71317	-2.157655	.2010943	.3872925	.8024123	1.409347	1.064861	.075	9.85216	17.4	3308.466	1	20.3
1	94	4219	1.922304	3.74227	-2.130747	.2859343	.5084743	.9883473	1.467732	1.088048	.06	9.879334	16.4	2944.711	1	21
1	95	4262.73	1.841993	3.739117	-2.19435	.3941725	.6431068	1.173354	1.534553	1.100586	.063	9.924404	20.1	2571.116	1	20.6
1	96	4290.4	1.728276	3.746543	-2.268311	.518011	.7921034	1.361476	1.581093	1.146687	.051	9.940027	14	2245.941	1	21
1	97	4319	1.730698	3.767063	-2.31634	.6578633	.9451637	1.533093	1.623693	1.179529	.051	9.93727	15.7	2175.482	1	20.8
1	98	4351												2146.446	1	
1	99	4369.86														
2	66														0	
2	67														0	
2	68														0	
2	69														0	
2	70	304													0	
2	71	313													0	
2	72	324	1.312661	3.718603	-2.346756						.08448	9.981776			0	
2	73	331	1.343866	3.816616	-2.305611				-.5712574	1.070441	.08722	10.06221			0	
2	74	341	1.499178	3.856616	-2.003241				-.6430631	1.102632	.08218	10.13913			0	
2	75	376	1.62002	3.969489	-2.168389				-.6670965	1.107371	.07175	10.30851			0	
2	76	401	1.637955	3.991106	-2.232761				-.5968704	1.123132	.0828	10.37593			0	
2	77	403	1.498825	4.008956	-2.214747				-.4526979	1.101103	.09195	10.32485			0	
2	78	405	1.481043	4.021154	-2.052643				.0389344	1.206699	.11025	10.26206			0	
2	79	403	1.598961	4.052669	-2.009953				.1905183	1.246038	.09325	10.20872			0	
2	80	402	1.563107	4.043749	-2.332891				.2777069	1.250989	.09592	10.19803	9.6		0	
2	81	418	1.803256	4.076401	-1.941137				.3509371	1.15032	.09233	10.2097	9		0	
2	82	450	1.803542	3.996323	-1.714798				.534	1.118352	.09983	10.25671	10.6		0	
2	83	488	1.795849	3.971258	-2.000661				.6615418	1.029619	.10308	10.2714	12.4		0	
2	84	514	1.799511	3.978554	-2.18178				.7869659	.9889926	.1015	10.21197	9.6		0	28.4
2	85	532	1.740004	3.948493	-2.344818	.0081042	.0448759	.1426009	.9224971	1.051474	.09608	10.22164	8.7	9481.083	0	27.4
2	86	544	1.722635	4.020185	-2.470308	.0184179	.0785089	.2273047	1.05638	1.080275	.10908	10.1696	11.4	10272	0	27.7
2	87	539	1.489751	3.870002	-2.319424	.0393259	.1277835	.3344702	1.119232	1.01959	.108	10.1013	12	9768.229	0	26.7
2	88	542	1.599052	3.728934	-2.92797	.072702	.1890161	.449014	1.187323	1.159201	.09225	10.09945	11	9239.595	0	26.2
2	89	547	1.567625	3.719795	-2.566779	.1243887	.2681246	.5817221	1.234141	1.268973	.06742	10.14316	10.5	10235.54	0	25.9
2	90	554	1.650115	3.827581	-2.603593	.1895085	.3510056	.7021937	1.249362	1.262897	.07025	10.1504	11.4	9701.598	0	26.6
2	91	569	1.816352	3.931171	-2.606211	.270876	.4584055	.8572949	1.206317	1.253279	.085	10.14376	11.8	9714.622	0	25.3
2	92	588	1.88609	3.891959	-2.592537	.3626096	.5648539	.9918807	1.17364	1.006636	.091	10.14395	10	9471.09	0	25.7
2	93	599	2.029158	3.872695	-2.406278	.4669834	.6819261	1.118691	1.195776	.8494821	.076	10.14888	9.1	9275.521	0	23.3
2	94	606	2.036451	3.900305	-2.769294	.58354	.8003668	1.229922	1.506856	1.015085	.078	10.14583	10.2	8648.43	1	24.7
2	95	601.345	2.046743	3.913012	-2.391836	.7025524	.9112201	1.313529	1.692371	.9627208	.073	10.15354	7.1	8391.189	1	24.5
2	96	604.918	1.988123	3.858409	-2.59843	.810356	1.005283	1.372596	1.762777	1.054972	.078	10.14762	8.2	9471.089	1	22.4
2	97	609	1.947551	3.822411	-2.422834	.9135832	1.095627	1.428421	1.812615	1.066839	.079	10.12643	8.8	10298.61	1	23.5
2	98	615												10480.84	1	
2	99	619.5														
3	66														0	
3	67														0	
3	68														0	
3	69														0	
3	70	1792													0	
3	71	1862													0	
3	72	2008	1.469741	3.97261	-2.649067						.05215	9.736908			0	
3	73	2124	1.536908	4.099424	-2.543063				-.2725253	.9293525	.05126	9.769244			0	
3	74	2223	1.702742	4.305942	-2.378737				-.227981	.9922399	.07207	9.74145			0	
3	75	2285	1.673758	4.328837	-2.481848				-.0564442	1.006147	.12238	9.68722			0	
3	76	2346	1.482824	4.275327	-2.584317				.1470609	1.053404	.0982	9.719678			0	
3	77	2425	1.543122	4.229332	-2.413689				.1946072	1.053863	.08197	9.744288			0	
3	78	2515	1.642369	4.189703	-2.431865				.286341	1.063359	.0605	9.8053			0	
3	79	2636	1.706815	4.212392	-2.487946				.3161014	1.070657	.0505	9.822314			0	
3	80	2718	1.872142	4.31917	-2.27644				.3490205	1.067402	.067	9.80792	12.8		0	
3	81	2810	1.744516	4.247859	-2.51599				.4725758	1.096894	.06125	9.803568	11.7		0	
3	82	2890	1.632357	4.181342	-2.50518				.6152818	1.107352	.09917	9.765603	14.8		0	
3	83	2969	1.595669	4.075074	-2.634688				.7384712	1.080573	.09117	9.803342	16.5		0	
3	84	3067	1.636521	4.086981	-2.556185				.8202797	1.058524	.04933	9.851056	18.2		0	29.8
3	85	3184	1.796876	4.177432	-2.528559	.0011666	.0125391	.0499257	.9134827	1.045493	.06508	9.889354	10.7	6353.814	0	29.8
3	86	3308	1.88717	4.201887	-2.377251	.0018663	.0193005	.074711	.954859	1.037196	.06925	9.92779	14.3	5706.667	0	30.6
3	87	3437	1.797562	4.171061	-2.608965	.0059774	.0387297	.1318669	1.005094	1.058835	.06275	9.929314	12.8	5851.723	0	29.8
3	88	3535	1.788785	4.20875	-2.486889	.0126792	.0671421	.2097583	1.122285	1.060559	.06258	9.925133	14.1	5422.297	0	29.4
3	89	3622	1.772619	4.293775	-2.726722	.0280975	.1136945	.320599	1.22743	1.070886	.05225	9.915565	14.1	4922.434	0	29
3	90	3681	1.871154	4.277409	-2.561965	.058572	.178383	.4533543	1.265773	1.078956	.05325	9.901517	13.7	4689.703	0	28.6
3	91	3746	1.904249	4.210956	-2.555121	.1073341	.2621744	.6042095	1.323873	1.094165	.057	9.890849	14.8	4738.84	0	28
3	92	3832	1.903338	4.15226	-2.508139	.1777389	.3687438	.786331	1.380136	1.21918	.074	9.903594	15.1	4576.634	0	28
3	93	3936	1.967098	4.207189	-2.45192	.2652451	.4836581	.9619392	1.425758	1.20949	.062	9.909739	15.4	4312.822	0	28.1
3	94	4075	1.950387	4.279637	-2.258187	.3714116	.618746	1.149345	1.481524	1.229632	.064	9.945507	15.9	4218.1	1	27.2
3	95	4306.91	1.944139	4.296645	-2.283476	.4972105	.7633833	1.327659	1.57808	1.211722	.051	9.977729	16.1	4067.039	1	27.4
3	96	4432.31	1.841962	4.163443	-2.464431	.6325328	.9110402	1.488791	1.60041	1.2131	.055	10.00303	20.5	3411.287	1	27.5
3	97	4555	1.830551	4.185297	-2.497055	.7778912	1.063307	1.647044	1.627834	1.256939	.046	9.998299	17.2	3812.083	1	26.9
3	98	4667												4215.542	1	
3	99	4778.33														
4	66														0	
4	67														0	
4	68														0	
4	69														0	
4	70	1929													0	
4	71	1951													0	
4	72	2019	.8743124	2.93551	-2.282481						.04799	9.464514			0	
4	73	2059	1.053579	3.194671	-2.437019				-.2207937	.5179325	.04444	9.55683			0	
4	74	2101	1.132614	3.377258	-2.207751				-.204022	.5584356	.05534	9.542286			0	
4	75	2160	1.227174	3.442612	-2.316571				-.0807569	.4306877	.09491	9.514094			0	
4	76	2170	1.083132	3.406361	-2.32119				.0009255	.4806527	.07135	9.558153			0	
4	77	2209	1.142454	3.37736	-2.463853				.1135755	.5592207	.06557	9.590923			0	
4	78	2243	1.210018	3.413912	-2.422265				.0770784	.605683	.06467	9.657238			0	
4	79	2271	1.257219	3.441741	-2.439708				.1391996	.6034166	.06175	9.633533			0	
4	80	2286	1.208686	3.547569	-2.387451				.271703	.6236352	.07608	9.573803	21.5		0	
4	81	2293	1.132906	3.551816	-2.395282				.2416931	.6951138	.091	9.593041	24.1		0	
4	82	2294	1.176305	3.567345	-2.506944				.3725105	.6567311	.09775	9.5737	23.8		0	
4	83	2306	1.100345	3.47613	-2.561486				.5363047	.6675387	.10125	9.593053	21.6		0	
4	84	2320	1.179848	3.428885	-2.578839				.6057415	.6564904	.08942	9.65044	23.9		0	17.9
4	85	2327	1.259432	3.491036	-2.521227	.0005372	.0059329	.0240697	.6585022	.6700374	.08633	9.675527	22.9	4467.526	0	18.1
4	86	2332	1.390253	3.580859	-2.502208	.0008623	.0090935	.0357137	.7084993	.679518	.08758	9.705939	21.3	4612.889	0	18.7
4	87	2342	1.435349	3.665738	-2.554754	.0028171	.0186934	.0640248	.7940165	.7027493	.081	9.705574	21.8	5160.574	0	19
4	88	2343	1.474576	3.669943	-2.407329	.0056275	.0312093	.0995876	.8521051	.7159426	.07667	9.721532	21.6	4858.378	0	18.9
4	89	2346	1.580638	3.734427	-2.447261	.0126688	.0529416	.1524305	.9165468	.732688	.07242	9.73737	18.3	5000.568	0	19
4	90	2355	1.670068	3.767422	-2.279499	.0274637	.0875519	.2275137	1.026142	.7495001	.06883	9.736311	19.6	4474.907	0	19.9
4	91	2371	1.780875	3.825068	-2.195118	.0492708	.1273765	.3032601	1.127766	.7634414	.073	9.743068	17.3	4129.561	0	19.9
4	92	2394	1.753947	3.736217	-2.223893	.0842331	.1824397	.3985005	1.180762	.8501257	.072	9.788629	17.4	4417.723	0	20
4	93	2424	1.780489	3.741816	-2.283786	.1293424	.2435929	.4928281	1.230559	.8662717	.062	9.785142	20	4224.203	0	19.7
4	94	2453	1.783573	3.738533	-2.121487	.183017	.3128731	.5899521	1.19202	.7647768	.053	9.813631	15.3	3820.165	0	19.7
4	95	2480.12	1.712077	3.724283	-2.259235	.2489707	.3893293	.6872647	1.259438	.9476725	.049	9.86446	14.9	3389.199	1	19.5
