Show,TERRITORY.EAST.CENTRAL,TERRITORY.NORTHEAST,TERRITORY.PACIFIC,TERRITORY.SOUTHEAST,TERRITORY.SOUTHWEST,TERRITORY.WEST.CENTRAL,COUNTY.SIZE.A,COUNTY.SIZE.B,COUNTY.SIZE.C,COUNTY.SIZE.D,WIRED.CABLE.W.PAY,WIRED.CABLE.W.O.PAY,DBS.OWNER,BROADCAST.ONLY,VIDEO.GAME.OWNER,DVD.OWNER,VCR.OWNER,X1.TV.SET,X2.TV.SETS,X3.TV.SETS,X4..TV.SETS,X1.PERSON,X2.PERSONS,X3.PERSONS,X4..PERSONS,HOH..25,HOH.25.34,HOH.35.44,HOH.45.54,HOH.55.64,HOH.65.,X1.3.YRS.COLLEGE,X4..YRS.COLLEGE,X4.YRS.H.S.,WHITE.COLLAR,BLUE.COLLAR,NOT.IN.LABOR.FORCE,BLACK,WHITE,OTHER,ANY.CHILDREN.2.5,ANY.CHILDREN.6.11,ANY.CHILDREN.12.17,ANY.CATS,ANY.DOGS,MALE.HOH,FEMALE.HOH,INCOME.30.74K.,INCOME.75K.,HISPANIC.ORIGIN,NON.HISPANIC.ORIGIN,HOME.IS.OWNED,HOME.IS.RENTED,PC.NON.OWNER,PC.OWNER.WITH.INTERNET.ACCESS,PC.OWNER.WITHOUT.INTERNET.ACCESS
Living with Ed,6.1611,19.0758,28.7915,17.5355,7.7014,20.7346,48.6967,31.3981,13.3886,6.5166,36.4929,43.6019,20.2607,0,66.4692,98.4597,90.4028,1.5403,26.8957,27.7251,43.7204,1.7773,20.1422,21.2085,56.7536,0.8294,18.128,45.0237,32.7014,2.4882,0.5924,41.9431,29.6209,25.1185,53.436,33.8863,12.5592,12.5592,80.9242,6.5166,23.9336,36.4929,40.4028,32.4645,46.8009,38.2701,61.6114,31.0427,56.872,9.5972,90.1659,76.8957,22.9858,12.5592,77.9621,9.3602
Monarch Cove,10.3289,14.0132,11.1184,37.1053,15.7237,11.6447,35.1316,32.2368,15.9211,16.7763,31.25,39.5395,29.0132,0,54.7368,94.2105,74.1447,11.0526,25.3289,29.5395,34.1447,6.1842,26.5789,23.9474,43.3553,1.25,20.0658,40.0658,32.1711,2.5658,3.9474,27.8947,14.2105,42.5658,39.8026,42.2368,17.9605,19.4737,74.0789,6.3816,15.8553,24.9342,38.75,31.25,50.3947,38.6842,61.3158,43.5526,20.4605,12.3026,87.6974,71.5132,28.6184,21.8421,62.9605,15.1974
Top Chef,7.519,23.8271,19.6066,17.8652,14.116,16.9637,48.2483,31.3255,13.3579,7.1297,42.8806,34.1528,23.2329,0.041,50.5019,92.2557,78.0783,11.1862,34.0504,22.7412,31.9812,10.9404,27.5763,26.2446,35.1977,8.8302,31.5509,32.5958,21.8808,3.237,1.8439,32.309,42.6962,19.7705,60.4384,23.5607,16.0008,11.3092,78.3036,10.4282,18.6847,21.7169,18.3979,32.3909,47.3059,48.5556,51.3829,39.0699,44.0484,11.1248,88.8547,65.7242,34.2348,13.5218,80.1475,6.3716
Iron Chef America,12.8118,25.1617,21.7123,20.1879,10.5482,9.6397,46.9664,30.3819,12.5038,10.1478,44.3794,29.9661,25.7776,0,56.9295,94.2408,83.6464,12.1343,27.6255,28.7188,31.5214,7.0065,24.1454,21.0348,47.8596,6.4213,26.8094,33.9698,25.2849,3.8651,3.6803,30.7515,38.3739,23.36,57.2221,25.9624,16.8309,13.397,77.9027,8.6695,22.9597,27.3329,24.1916,33.0305,47.1974,51.1857,48.7989,44.364,44.6104,8.7003,91.2997,74.8075,25.1925,8.6849,84.7244,6.5445
Trading Spaces: All Stars,11.9926,15.1292,17.1587,16.7897,16.2362,22.6937,28.5978,37.6384,16.7897,16.9742,46.4945,34.5018,19.1882,0,49.4465,90.2214,81.1808,9.9631,22.1402,36.7159,31.1808,9.2251,24.9077,22.3247,43.7269,8.4871,32.4723,39.6679,14.7601,4.059,0.5535,32.1033,35.2399,25.0923,58.3026,32.8413,8.8561,8.6716,87.2694,4.059,21.5867,22.5092,24.1697,34.1328,50.9225,41.8819,58.1181,37.2694,47.048,9.9631,90.2214,75.0923,24.9077,11.9926,85.9779,2.0295
Lisa Williams: Life Among the Dead,17.321,23.3256,9.4688,26.5589,13.3949,9.9307,37.1824,23.5566,20.5543,18.7067,36.7206,35.3349,28.6374,0,51.7321,94.2263,84.9885,8.776,29.5612,29.7921,32.1016,15.0115,28.1755,28.4065,28.4065,3.6952,16.1663,40.1848,28.6374,7.1594,4.388,33.7182,14.5497,42.2633,35.1039,33.2564,31.6397,11.5473,83.3718,5.0808,13.164,15.2425,29.5612,36.7206,52.4249,36.2587,63.9723,44.5727,24.9423,7.8522,92.1478,69.2841,30.7159,26.3279,64.8961,8.776
Project Runway,10.7261,21.5272,20.282,20.162,14.7165,12.5563,50,32.9133,12.6613,4.4704,47.5998,34.8035,17.5218,0.015,49.0249,95.1395,81.5632,14.5665,30.5581,21.7222,33.1533,14.2664,25.4575,22.6973,37.6088,10.396,31.1431,29.613,20.222,6.9457,1.6952,32.7333,47.3897,16.2166,60.096,23.8674,16.0666,16.1716,71.7822,12.0912,16.2616,19.712,18.9769,29.883,43.6994,45.7996,54.1704,38.9439,45.4845,9.1509,90.8791,66.0966,33.9034,7.2607,85.4185,7.3207
Next,11.6279,27.8013,15.8562,22.4101,11.6279,10.6765,48.3087,22.3044,13.5307,15.8562,34.5666,35.3066,30.8668,0,57.3996,95.9831,75.8985,6.9767,24.7357,39.852,28.3298,4.7569,22.6216,23.1501,49.26,9.3023,28.8584,29.1755,22.9387,5.074,4.7569,35.518,22.9387,33.8266,57.9281,25.8985,16.0677,16.7019,70.6131,12.5793,15.4334,13.6364,30.1268,39.7463,38.9006,47.6744,52.2199,39.852,26.5328,19.556,80.3383,53.3827,46.5116,13.4249,71.7759,14.7992
House Hunters,14.986,22.479,12.0448,22.8992,12.2549,15.2661,39.7759,30.6723,14.0056,15.6863,37.3249,32.7731,29.2717,0,62.0448,94.6078,86.3445,8.5434,24.5798,31.0224,35.7843,7.6331,23.3193,22.7591,46.1485,2.591,27.381,38.3754,24.5098,4.2717,3.0112,36.2045,36.6947,22.8992,56.2325,29.972,13.7255,15.4762,77.1008,7.423,25.2101,30.112,26.3305,34.3838,48.6695,47.8291,52.1709,42.6471,47.479,7.8431,92.0868,80.8824,19.1176,7.2129,84.1737,8.6134
My Super Sweet 16,11.612,22.541,16.8033,25.4098,11.4754,12.0219,41.3934,30.6011,13.1148,14.7541,48.9071,34.6995,18.5792,0,65.4372,95.082,82.377,10.3825,21.7213,27.459,40.5738,5.7377,19.5355,26.776,47.9508,20.3552,27.3224,19.1257,24.1803,7.2404,1.776,37.2951,23.0874,27.5956,50.9563,31.2842,17.7596,13.7978,73.4973,12.5683,16.2568,21.9945,23.0874,26.5027,52.7322,45.6284,54.3716,43.5792,29.7814,15.847,84.153,53.9617,45.9016,13.5246,72.9508,13.388
