Viewer,Show,Q1_Attentive,Q1_Excited,Q1_Happy,Q1_Engaged,Q1_Curious,Q1_Motivated,Q1_Comforted,Q1_Annoyed,Q1_Indifferent,Q2_Relatable,Q2_Funny,Q2_Confusing,Q2_Predictable,Q2_Entertaining,Q2_Fantasy,Q2_Original,Q2_Believable,Q2_Boring,Q2_Dramatic,Q2_Suspenseful
71,Iron Chef America,3,4,4,3,5,4,3,2,2,3,2,2,4,3,1,3,5,2,2,4
71,Trading Spaces: All Stars,4,4,3,4,5,2,3,3,2,4,3,1,3,4,2,4,4,2,3,4
71,House Hunters,4,4,4,5,5,3,3,2,1,2,4,2,3,5,4,5,2,1,4,4
71,What Not to Wear,4,3,3,3,4,2,2,4,2,2,3,2,5,4,4,3,3,2,3,4
71,America's Next Top Model,4,4,3,4,4,4,3,3,4,3,2,1,3,4,2,3,3,2,3,3
73,Next,2,4,2,4,2,3,3,3,3,2,4,1,4,5,3,2,1,3,5,2
73,My Super Sweet 16,4,5,4,5,5,3,2,4,2,1,4,1,3,5,5,5,4,1,5,4
73,What Not to Wear,3,3,3,3,4,4,2,4,2,3,4,3,2,4,3,4,4,3,3,3
73,Real World XVIII Denver Launch,2,3,4,4,4,2,3,2,3,4,2,5,4,5,3,3,4,3,2,3
73,America's Next Top Model,5,5,5,5,5,5,4,3,1,3,5,1,3,5,2,5,5,1,5,4
74,What Not to Wear,4,4,5,5,4,4,5,3,1,5,5,1,2,5,1,5,5,1,1,1
74,The Apprentice: Los Angeles,4,2,4,4,4,3,2,2,2,3,4,2,2,5,1,5,5,1,5,5
74,Grey's Anatomy,4,3,3,4,5,4,3,2,2,4,5,1,3,5,1,4,3,1,5,5
76,What Not to Wear,3,3,3,3,4,3,2,1,3,3,4,1,2,5,2,3,3,2,1,1
76,America's Next Top Model,3,3,3,3,2,1,1,1,4,1,5,1,2,5,3,3,1,4,1,1
76,CSI: Crime Scene Investigation,4,4,3,3,3,3,1,1,2,2,4,1,3,5,4,4,2,1,5,5
76,Heroes,5,5,5,5,5,2,2,1,1,2,5,3,1,5,5,5,1,1,5,5
78,Next,4,4,5,4,3,2,3,2,2,5,5,1,4,5,1,4,5,1,3,2
78,Real World XVIII Denver Launch,4,4,5,4,4,4,4,1,4,5,4,1,3,4,1,3,5,1,4,4
78,The War at Home,4,4,5,4,2,4,4,1,4,5,5,1,3,5,1,3,5,1,3,2
78,The Apprentice: Los Angeles,4,5,4,4,5,5,4,1,4,5,3,1,3,5,1,4,5,1,3,3
79,Next,3,3,3,4,4,2,3,4,4,1,4,3,2,4,4,2,2,2,3,1
79,My Super Sweet 16,4,3,3,4,5,3,3,4,3,1,3,2,4,4,4,3,3,2,4,2
79,What Not to Wear,4,4,4,4,5,4,4,2,3,4,4,2,2,4,2,4,4,2,3,4
79,Real World XVIII Denver Launch,4,4,3,4,4,4,4,4,4,2,3,2,3,4,3,4,3,2,4,2
79,Veronica Mars,5,5,5,5,5,4,5,2,4,3,4,3,3,5,5,5,3,1,5,5
79,America's Next Top Model,4,4,4,4,4,4,4,2,3,2,2,2,2,4,4,4,4,2,3,3
80,Top Chef,3,3,3,3,3,3,3,3,3,4,4,4,3,5,3,3,3,3,4,4
