"member","state","party"
"BONNER (R AL-1)","AL","R"
"BRIGHT (D AL-2)","AL","D"
"ROGERS (R AL-3)","AL","R"
"ADERHOLT (R AL-4)","AL","R"
"GRIFFITH (D/R AL-5)","AL","DR"
"BACHUS (R AL-6)","AL","R"
"DAVIS (D AL-7)","AL","D"
"YOUNG (R AK-1)","AK","R"
"KIRKPATRICK (D AZ-1)","AZ","D"
"FRANKS (R AZ-2)","AZ","R"
"SHADEGG (R AZ-3)","AZ","R"
"PASTOR (D AZ-4)","AZ","D"
"MITCHELL (D AZ-5)","AZ","D"
"FLAKE (R AZ-6)","AZ","R"
"GRIJALVA (D AZ-7)","AZ","D"
"GIFFORDS (D AZ-8)","AZ","D"
"BERRY (D AR-1)","AR","D"
"SNYDER (D AR-2)","AR","D"
"BOOZMAN (R AR-3)","AR","R"
"ROSS (D AR-4)","AR","D"
"THOMPSON (D CA-1)","CA","D"
"HERGER (R CA-2)","CA","R"
"LUNGREN (R CA-3)","CA","R"
"MCCLINTOCK (R CA-4)","CA","R"
"MATSUI (D CA-5)","CA","D"
"WOOLSEY (D CA-6)","CA","D"
"MILLER (D CA-7)","CA","D"
"PELOSI (D CA-8)","CA","D"
"LEE (D CA-9)","CA","D"
"TAUSCHER (D CA-10)","CA","D"
"GARAMENDI (D CA-10)","CA","D"
"MCNERNEY (D CA-11)","CA","D"
"SPEIER (D CA-12)","CA","D"
"STARK (D CA-13)","CA","D"
"ESHOO (D CA-14)","CA","D"
"HONDA (D CA-15)","CA","D"
"LOFGREN (D CA-16)","CA","D"
"FARR (D CA-17)","CA","D"
"CARDOZA (D CA-18)","CA","D"
"RADANOVI (R CA-19)","CA","R"
"COSTA (D CA-20)","CA","D"
"NUNES (R CA-21)","CA","R"
"MCCARTHY (R CA-22)","CA","R"
"CAPPS (D CA-23)","CA","D"
"GALLEGLY (R CA-24)","CA","R"
"MCKEON (R CA-25)","CA","R"
"DREIER (R CA-26)","CA","R"
"SHERMAN (D CA-27)","CA","D"
"BERMAN (D CA-28)","CA","D"
"SCHIFF (D CA-29)","CA","D"
"WAXMAN (D CA-30)","CA","D"
"BECERRA (D CA-31)","CA","D"
"SOLIS (D CA-32)","CA","D"
"CHU (D CA-32)","CA","D"
"WATSON (D CA-33)","CA","D"
"ROYBAL-A (D CA-34)","CA","D"
"WATERS (D CA-35)","CA","D"
"HARMAN (D CA-36)","CA","D"
"RICHARDSON (D CA-37)","CA","D"
"NAPOLITA (D CA-38)","CA","D"
"SANCHEZ (D CA-39)","CA","D"
"ROYCE (R CA-40)","CA","R"
"LEWIS (R CA-41)","CA","R"
"MILLER (R CA-42)","CA","R"
"BACA (D CA-43)","CA","D"
"CALVERT (R CA-44)","CA","R"
"BONO (R CA-45)","CA","R"
"ROHRABAC (R CA-46)","CA","R"
"SANCHEZ (D CA-47)","CA","D"
"CAMPBELL (R CA-48)","CA","R"
"ISSA (R CA-49)","CA","R"
"BILBRAY (R CA-50)","CA","R"
"FILNER (D CA-51)","CA","D"
"HUNTER (R CA-52)","CA","R"
"DAVIS (D CA-53)","CA","D"
"DEGETTE (D CO-1)","CO","D"
"POLIS (D CO-2)","CO","D"
"SALAZAR (D CO-3)","CO","D"
"MARKEY (D CO-4)","CO","D"
"LAMBORN (R CO-5)","CO","R"
"COFFMAN (R CO-6)","CO","R"
"PERLMUTTER (D CO-7)","CO","D"
"LARSON (D CT-1)","CT","D"
"COURTNEY (D CT-2)","CT","D"
"DELAURO (D CT-3)","CT","D"
"HIMES (D CT-4)","CT","D"
"MURPHY (D CT-5)","CT","D"
"CASTLE (R DE-1)","DE","R"
"MILLER (R FL-1)","FL","R"
"BOYD (D FL-2)","FL","D"
"BROWN (D FL-3)","FL","D"
"CRENSHAW (R FL-4)","FL","R"
"BROWN-WAI (R FL-5)","FL","R"
"STEARNS (R FL-6)","FL","R"
"MICA (R FL-7)","FL","R"
"GRAYSON (D FL-8)","FL","D"
"BILIRAKI (R FL-9)","FL","R"
"YOUNG (R FL-10)","FL","R"
"CASTOR (D FL-11)","FL","D"
